,Unnamed: 0,id,date,tweet,label,fav
35,47,47,2/22/2016 22:14,b B C movie tax breaks under scrutiny,neg,0
435,447,447,2/22/2016 6:22,b officially destroys the weekend again and we re another day closer to,neg,3
34,46,46,2/22/2016 22:14,b RT B C movie tax breaks under scrutiny,neg,0
7,19,19,2/22/2016 23:32,b RT Deadpool Superhero Comic Cufflinks Nerd Geek xe2 x80 xa6,neg,0
562,574,574,2/22/2016 1:00,b RT Don t act like you re not impressed n n n n htt xe2 x80 xa6,neg,0
393,405,405,2/22/2016 8:50,b RT wasn t censored or cut so why enforce rules for concert in for people who aren t even go xe2 x80 xa6,neg,0
438,450,450,2/22/2016 6:03,b An exclusive breakdown edit of one of the fight scenes in the,nuetral,1
558,570,570,2/22/2016 1:08,b Checkout our hottest Deadpool T shirt Design,nuetral,1
298,310,310,2/22/2016 13:58,b DEADPOOL n xf0 x9f x92 x80 xf0 x9f x92 xa9L,nuetral,1
214,226,226,2/22/2016 16:09,b Guess what time it is New Episode Time,nuetral,1
573,585,585,2/22/2016 0:24,b Have you seen yet If so check out what our hosts thought,nuetral,0
308,320,320,2/22/2016 13:47,b Honestly fans WE ONLY NEED 1 700 signatures here,nuetral,11
108,120,120,2/22/2016 19:12,b How Is Filmed,nuetral,1
211,223,223,2/22/2016 16:13,b If was in the,nuetral,2
19,31,31,2/22/2016 23:05,b If you haven t yet listen to our Deadpool Review,nuetral,2
471,483,483,2/22/2016 4:11,b if you like the,nuetral,1
396,408,408,2/22/2016 8:35,b looking forward to Movie Mondays with at 3pm today Talking Film Festivals and much more,nuetral,0
256,268,268,2/22/2016 14:54,b Portrait Deadpool Ryan Reynolds,nuetral,1
577,589,589,2/22/2016 0:18,b Raff Deadpool mashup,nuetral,8
442,454,454,2/22/2016 5:34,b RT 3 Geeks Podcast Episode 23 Deadpool Spoiler Discussion http xe2 x80 xa6,nuetral,0
455,467,467,2/22/2016 4:26,b RT 3 Geeks Podcast Episode 23 Deadpool Spoiler Discussion http xe2 x80 xa6,nuetral,0
515,527,527,2/22/2016 3:43,b RT 3 Geeks Podcast Episode 23 Deadpool Spoiler Discussion http xe2 x80 xa6,nuetral,0
193,205,205,2/22/2016 16:37,b RT 5 Comics To Read After Watching the,nuetral,0
102,114,114,2/22/2016 19:22,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,nuetral,0
117,129,129,2/22/2016 18:57,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,nuetral,0
140,152,152,2/22/2016 17:42,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,nuetral,0
179,191,191,2/22/2016 16:56,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,nuetral,0
383,395,395,2/22/2016 9:28,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,nuetral,0
523,535,535,2/22/2016 3:04,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,nuetral,0
536,548,548,2/22/2016 2:21,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,nuetral,0
547,559,559,2/22/2016 1:41,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,nuetral,0
553,565,565,2/22/2016 1:26,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,nuetral,0
567,579,579,2/22/2016 0:44,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,nuetral,0
580,592,592,2/22/2016 0:08,b RT ALL easter eggs Spider Man amp Green Lantern references post credits xe2 x80 xa6,nuetral,0
436,448,448,2/22/2016 6:10,b RT An exclusive breakdown edit of one of the fight scenes in the,nuetral,0
26,38,38,2/22/2016 22:53,b RT author Get for free when it has a 5 99 value,nuetral,0
345,357,357,2/22/2016 11:47,b RT CeylonTea Did you know that Mr Deadpool LOVES Tea n,nuetral,0
324,336,336,2/22/2016 12:51,b RT concept by and Hope you liked https xe2 x80 xa6,nuetral,0
60,72,72,2/22/2016 20:32,b RT Deadpool 2016 Opening Scene,nuetral,0
65,77,77,2/22/2016 20:25,b RT Deadpool 2016 Opening Scene,nuetral,0
67,79,79,2/22/2016 20:23,b RT Deadpool 2016 Opening Scene,nuetral,0
68,80,80,2/22/2016 20:20,b RT Deadpool 2016 Opening Scene,nuetral,0
69,81,81,2/22/2016 20:16,b RT Deadpool 2016 Opening Scene,nuetral,0
71,83,83,2/22/2016 20:05,b RT Deadpool 2016 Opening Scene,nuetral,0
73,85,85,2/22/2016 20:03,b RT Deadpool 2016 Opening Scene,nuetral,0
74,86,86,2/22/2016 20:00,b RT Deadpool 2016 Opening Scene,nuetral,0
75,87,87,2/22/2016 19:58,b RT Deadpool 2016 Opening Scene,nuetral,0
76,88,88,2/22/2016 19:54,b RT Deadpool 2016 Opening Scene,nuetral,0
77,89,89,2/22/2016 19:52,b RT Deadpool 2016 Opening Scene,nuetral,0
