id,date,tweet,fav
0,2/23/2016 0:50,b'RT @ThisIsA_Podcast: was @VancityReynolds penis in #Deadpool REAL or CGI? We discuss\n#PodernFamily #DeadpoolMovie\nhttps://t.co/j32OkHlwY4\nh\xe2\x80\xa6',0
1,2/23/2016 0:48,"b""RT @DianaGreenhalgh: #DeadpoolMovie is finally out! If you missed it, here's my official @deadpoolmovie poster! #deadpoolcore #SkullPoopL h\xe2\x80\xa6""",0
2,2/23/2016 0:47,"b""RT @ScreenPrism: #DeadpoolMovie out today! What are #Deadpool's superpowers? https://t.co/dVH3pilOY6 #superhero #marvel @RyanReynolds https\xe2\x80\xa6""",0
3,2/23/2016 0:41,b'RT @weoverachieve: The #funko #deadpool #deadpoolmovie #marvel #collectortcorps came today. This is the stuff we #giveaway to fans \xf0\x9f\x98\x9b https:\xe2\x80\xa6',0
4,2/23/2016 0:35,b'RT @MiracoleBurns: @actorChrisBurns @deadpoolmovie @gstqfashions @BGZ_Studios because #DeadpoolMovie &amp; guns! https://t.co/m2sY1uZYUO',0
5,2/23/2016 0:34,"b'RT @lizardoffire: ""Mmm I\'m so touching myself tonight"" #DeadpoolMovie https://t.co/BjkvXOE3co'",0
6,2/23/2016 0:21,b'RT @ThisIsA_Podcast: was @VancityReynolds penis in #Deadpool REAL or CGI? We discuss\n#PodernFamily #DeadpoolMovie\nhttps://t.co/j32OkHlwY4\nh\xe2\x80\xa6',0
7,2/23/2016 0:20,b'RT @ThisIsA_Podcast: was @VancityReynolds penis in #Deadpool REAL or CGI? We discuss\n#PodernFamily #DeadpoolMovie\nhttps://t.co/j32OkHlwY4\nh\xe2\x80\xa6',0
8,2/23/2016 0:19,b'RT @ThisIsA_Podcast: was @VancityReynolds penis in #Deadpool REAL or CGI? We discuss\n#PodernFamily #DeadpoolMovie\nhttps://t.co/j32OkHlwY4\nh\xe2\x80\xa6',0
9,2/23/2016 0:18,b'RT @ThisIsA_Podcast: was @VancityReynolds penis in #Deadpool REAL or CGI? We discuss\n#PodernFamily #DeadpoolMovie\nhttps://t.co/j32OkHlwY4\nh\xe2\x80\xa6',0
10,2/23/2016 0:11,b'RT @BlackPressMedia: B.C. movie tax breaks under scrutiny https://t.co/kmNZYb4P48 #bcpoli #DeadpoolMovie https://t.co/jpMxMP9nkM',0
11,2/23/2016 0:07,b'was @VancityReynolds penis in #Deadpool REAL or CGI? We discuss\n#PodernFamily #DeadpoolMovie\nhttps://t.co/j32OkHlwY4\nhttps://t.co/SFFZu2WCRY',3
12,2/23/2016 0:00,b'RT @DeluxeVideoOL: https://t.co/yXMNkcxeCz #DeadpoolMovie  #MovieReview  what do you think?',0
13,2/22/2016 23:56,b'RT @The1stBAT: The PG version of #Deadpoolmovie @VancityReynolds #The1stBAT https://t.co/QlWHE30QEN',0
