name,junk
NBC Nightly News,1970–present)
i dream of jeannie,19670)
On the Money,1970–present)
The Man from U N C L E,1974-present)
Great Performances,1972–present)
The Price Is Right,1972–present)
The Young and the Restless,1973–present)
Nova,1974–present)
Good Morning America,1975–present)
PBS NewsHour,1975–present)
Saturday Night Live,1975–present)
Austin City Limits,1976–present)
Live from Lincoln Center,1976–present)
Inside the NFL,1977–present)
20/20 |20/20,1978–present)
CBS News Sunday Morning,1979–present)
Nightly Business Report,1979–present)
SportsCenter,1979–present)
This Old House,1979–present)
The Woodwright's Shop,1979–present)
Whose Line Is It Anyway,1999)
Big Brother,2000–present)
Closer to Truth,2000–present)
In Depth,2000–present)
Secrets of the Dead,2000–present)
Survivor |Survivor,2000–present)
Things You Shouldn't Say Past Midnight,2000–present)
The Amazing Race |The Amazing Race,2001–present)
America's Test Kitchen,2001–present)
Caso Cerrado,2001–present)
College Football Scoreboard,2001–present)
The Fairly OddParents,2001–present)
How It's Made,2001–present)
The John Kerwin Show,2001–present)
NASCAR RaceDay,2001–present)
NASCAR Victory Lane,2001–present)
Pardon the Interruption,2001–present)
Al Rojo Vivo (Telemundo)|Al Rojo Vivo,2002–present)
Around the Horn,2002–present)
The Bachelor |The Bachelor,2002–present)
Barefoot Contessa,2002–present)
Bulls & Bears,2002–present)
Cashin' In,2002–present)
Closing Bell,2002–present)
Contacto Deportivo,2002–present)
Dr. Phil |Dr. Phil,2002–present)
Forbes on Fox,2002–present)
Last Call with Carson Daly,2002–present)
NBA Countdown,2002–present)
On the Record w/ Greta Van Susteren,2002–present)
Shepard Smith Reporting,2002–present)
Anderson Cooper 360°,2003–present)
The Ellen DeGeneres Show,2003–present)
Jimmy Kimmel Live!,2003–present)
NCIS |NCIS,2003–present)
New Scandinavian Cooking,2003–present)
NFL Total Access,2003–present)
Real Time with Bill Maher,2003–present)
Simply Ming,2003–present)
The Venture Bros.,2003–present)
The Biggest Loser |The Biggest Loser,2004–present)
The First 48,2004–present)
First Look (MSNBC program)|First Look,2004–present)
Ghost Hunters,2004–present)
Journal Editorial Report,2004–present)
LatiNation,2004–present)
Project Runway,2004–present)
Q&A (U.S. talk show)|Q&A,2004–present)
Snapped,2004–present)
Tavis Smiley |Tavis Smiley,2004–present)
Top 20 Country Countdown,2004–present)
Untold Stories of the E.R.,2004–present)
After Words,2005–present)
America's Heartland,2005–present)
American Dad!,2005–present)
College GameDay (basketball)|College GameDay]]'', basketball version (2005–present)
Criminal Minds,2005–present)
Dancing with the Stars,2005–present)
Deadly Women,2005–present)
Designing Spaces,2005–present)
Family Guy,1999–2003; 2005–present)
Grey's Anatomy,2005–present)
Hell's Kitchen |Hell's Kitchen,2005–present)
It's Always Sunny in Philadelphia,2005–present)
Lockup |Lockup,2005–present)
How I Met Your Mother, 2005-2014)
Morning Express with Robin Meade,2005–present)
Nancy Grace |Nancy Grace,2005–present)
NHL Live,2005–present)
Saturday Primetime,2005–present)
The Situation Room,2005–present)
So You Think You Can Dance,2005–present)
Squawk on the Street,2005–present)
Supernatural |Supernatural,2005–present)
America's Got Talent,2006–present
Bad Girls Club,2006–present)
Bizarre Foods with Andrew Zimmern,2006–present)
Comics Unleashed,2006–present)
Diners Drive-Ins and Dives,2006–present)
Football Night in America,2006–present)
Guy's Big Bite,2006–present)
How Do They Do It?,2006–present)
Million Dollar Listing Los Angeles,2006–present)
NFL Replay,2006–present)
Keeping Up with the Kardashians,2006)
Thursday Night Football,2006–present)
Your Business,2006–present)
Al Punto,2007–present)
American Greed,2007–present)
America's Newsroom,2007–present)
The Big Bang Theory,2007–present)
Dog Tales,2007–present)
E:60,2007–present)
First Take |First Take,2007–present)
Ice Road Truckers,2007–present)
Jail |Jail,2007–present)
Kate Plus 8,2007–present)
Man Caves,2007–present)
Morning Joe,2007–present)
Nuestra Belleza Latina,2007–present)
Say Yes to the Dress,2007–present)
The Steve Wilkos Show,2007–present)
The Universe |The Universe,2007–present)
1st Look,2008–present)
Ax Men,2008–present)
The Bachelorette,2003–2003; 2008–present)
The Celebrity Apprentice,2008–present)
The Doctors (2008 TV series)|The Doctors,2008–present)
Ghost Adventures,2008–present)
Giada at Home,2008–present)
Happening Now,2008–present)
NASA 360,2008–present)
NBA Gametime Live,2008–present)
Primetime: What Would You Do?,2008–present)
The Rachel Maddow Show,2008–present)
The Real Housewives of Atlanta,2008–present)
Un Nuevo Día,2008–present)
The Wendy Williams Show,2008–present)
American Ninja Warrior,2009–present)
BBQ Pitmasters,2009–present)
Cake Boss,2009–present)
Castle |Castle,2009-present)
The Dan Patrick Show,2009–present)
Dinosaur Train,2009–present)
The Dr. Oz Show,2009–present)
Fault Lines |Fault Lines,2009–present)
Frankie & Neffe,2009–present)
Hannity,2009–present)
Let's Make a Deal, 2009–present)
The Middle |The Middle,2009–present)
Modern Family,2009–present)
Monsters Inside Me,2009–present)
Music Feed,2009–present)
NASCAR Race Hub,2009–present)
NCIS: Los Angeles,2009–present)
On the Case with Paula Zahn,2009–present)
Pawn Stars,2009–present)
Pit Bulls & Parolees,2009–present)
The Real Housewives of New Jersey,2009–present)
Ring of Honor Wrestling,2009–present)
Shark Tank,2009–present)
SportsNation |SportsNation,2009–present)
State of the Union with Jake Tapper,2009–present)
Steven Seagal: Lawman,2009–present)
Stossel |Stossel,2009–present)
Thursday Night Baseball,2009–present)
Tosh.0,2009–present)
The Vampire Diaries,2009-present)
Watch What Happens: Live,2009–present)
Way Too Early,2009–present)
Weather Center Live,2009–present)
WWE Superstars,2009–present)
Adventure Time,2010–present)
America's Court with Judge Ross,2010–present)
American Pickers,2010–present)
American Restoration,2010–present)
Ancient Aliens,2010–present)
Archer |Archer,2010–present)
Bath Crashers,2010–present)
Blue Bloods |Blue Bloods,2010–present)
Conan (talk show)|Conan,2010–present)
Drugs Inc.,2010–present)
Dual Survival,2010–present)
Family Game Night |Family Game Night,2010–present)
Gold Rush |Gold Rush,2010–present)
Hawaii Five-0,2010–present)
How the Universe Works,2010–present)
I (Almost) Got Away With It,2010–present)
The Last Word with Lawrence O'Donnell,2010–present)
Louie |Louie,2010–present)
MasterChef |MasterChef,2010–present)
My Little Pony: Friendship Is Magic,2010–present)
My Strange Addiction,2010–present)
Mysteries at the Museum,2010–present)
Next Great Baker,2010–present)
Pretty Little Liars |Pretty Little Liars,2010-present)
The Real Housewives of Beverly Hills,2010–present)
Regular Show,2010–present)
Sister Wives,2010–present)
Storage Wars,2010–present)
The Talk |The Talk,2010–present)
Top Gear |Top Gear,2010–present)
Undercover Boss |Undercover Boss,2010–present)
Unusual Suspects |Unusual Suspects,2010–present)
The Vanilla Ice Project,2010–present)
The Walking Dead |The Walking Dead,2010–present)
Who Do You Think You Are? |Who Do You Think You Are?,2010–present)
Wild Kratts,2010–present)
Worst Cooks in America,2010–present)
2 Broke Girls,2011–present)
Alaska: The Last Frontier,2011–present)
The Amazing World of Gumball,2011–present)
American Horror Story,2011–present)
Bar Rescue,2011–present)
Basketball Wives LA,2011–present)
The Bill Cunningham Show,2011–present)
Bob's Burgers,2011–present)
Bubble Guppies,2011–present)
The Chew,2011–present)
Coast Guard Alaska,2011–present)
Dance Moms,2011–present)
The Dead Files,2011–present)
Dr. Drew On Call,2011–present)
Erin Burnett OutFront,2011–present)
The Five (TV program)|The Five,2011–present)
A Football Life,2011–present)
Game of Thrones ,2011–present)
Grimm |Grimm,2011–present)
The Heart She Holler,2011–present)
Homeland |Homeland,2011–present)
Homicide Hunter,2011–present)
Impractical Jokers,2011–present)
Justice with Judge Jeanine,2011–present)
Last Man Standing |Last Man Standing,2011–present)
Last Shot with Judge Gunn,2011–present)
New Girl,2011–present)
Off the Air |Off the Air,2011–present)
Once Upon a Time |Once Upon a Time,2011–present)
Oprah's Master Class,2011–present)
Paranormal Witness,2011–present)
PoliticsNation with Al Sharpton,2011–present)
Portlandia |Portlandia,2011–present)
Reed Between the Lines,2011–present)
Restaurant: Impossible,2011–present)
Ridiculousness |Ridiculousness,2011–present)
Say Yes to the Dress: Bridesmaids,2011–present)
Shameless |Shameless,2011–present)
Single Ladies |Single Ladies,2011–present)
Suits |Suits,2011–present)
Super Soul Sunday,2011–present)
Friends with Benefits,2011-present)
Talking Dead,2011–present)
Tanked,2011–present)
Teen Wolf (2011 TV series)|Teen Wolf,2011–present)
Tyler Perry's For Better or Worse,2011–present)
The Voice |The Voice,2011–present)
Weekends with Alex Witt,2011–present)
Welcome to Sweetie Pie's,2011–present)
Workaholics,2011–present)
Amanpour,2009–2010; 2012–present)
Arrow |Arrow,2012–present)
Baby Daddy,2012–present)
Betty White's Off Their Rockers,2012–present)
Blood Relatives |Blood Relatives,2012–present)
Catfish: The TV Show,2012–present)
CBS This Morning,2012–present)
Chicago Fire |Chicago Fire,2012–present)
Comedy Bang! Bang!,2012–present)
Comic Book Men,2012–present)
Counting Cars,2012–present)
Couples Therapy |Couples Therapy,2012–present)
Daniel Tiger's Neighborhood,2012–present)
Doc McStuffins,2012–present)
DreamWorks Dragons,2012–present)
Elementary |Elementary,2012–present)
Extreme Cheapskates,2012–present)
The First Family |The First Family,2012–present)
Fox & Friends First,2012–present)
The Half Hour,2012–present)
The Haunting of...,2012–present)
Holliston |Holliston,2012–present)
Hotel Hell,2012–present)
Hotel Impossible,2012–present)
House of Lies,2012–present)
Iyanla: Fix My Life,2012–present)
Justice for All with Judge Cristina Perez,2012–present)
Live! with Kelly and Michael,2012–present)
Longmire |Longmire,2012–present)
Major Crimes,2012–present)
The Mindy Project,2012–present)
Mr. Box Office,2012–present)
Mystery Diners,2012–present)
Nashville (2012 TV series)|Nashville,2012–present)
Oprah: Where Are They Now?,2012–present)
Rachael vs. Guy: Celebrity Cook-Off,2012–present)
Scandal |Scandal,2012–present)
Shahs of Sunset,2012–present)
Shipping Wars,2012–present)
Steve Harvey |Steve Harvey,2012–present)
Teenage Mutant Ninja Turtles (2012 TV series)|Teenage Mutant Ninja Turtles,2012–present)
UFC Ultimate Insider,2012–present)
Ultimate Spider-Man |Ultimate Spider-Man,2012–present)
Veep |Veep,2012–present)
Wives with Knives,2012–present)
WWE Main Event,2012–present)
Yukon Men,2012–present)
The (206),2013–present)
60 Minutes Sports,2013–present)
Adam DeVine's House Party,2013–present)
All In with Chris Hayes,2013–present)
The Americans (2013 TV series)|The Americans,2013–present)
Anthony Bourdain: Parts Unknown,2013–present)
Arrested Development |Arrested Development,2003–2006; 2013–present)
Axe Cop |Axe Cop,2013–present)
Bates Motel |Bates Motel,2013–present)
Being Mary Jane,2013–present)
Below Deck,2013–present)
The Big Brain Theory,2013–present)
Black Ink Crew,2013–present)
The Blacklist |The Blacklist,2013–present)
Brooklyn Nine-Nine,2013–present)
A Chef's Life,2013–present)
CMT Hot 20 Countdown,2013–present)
Cutthroat Kitchen,2013–present)
Devious Maids,2013–present)
Drunk History,2013–present)
East Los High,2013–present)
El Señor de los Cielos,2013–present)
The Face |The Face,2013–present)
Failosophy,2013–present)
Flip or Flop,2013–present)
Food Factory,2013–present)
The Fosters (2013 TV series)|The Fosters,2013–present)
Fox NFL Kickoff,2013–present)
Garage Gold,2013–present)
Girl Code,2013–present)
The Goldbergs (2013 TV series)|The Goldbergs,2013–present)
The Great Christmas Light Fight,2013–present)
Guinness World Records Gone Wild,2013–present)
Two and a Half Men,2003)
Guntucky,2013–present)
Guy's Grocery Games,2013–present)
The Haves and the Have Nots |The Haves and the Have Nots,2013–present)
Hawaii Life,2013–present)
Hit the Floor |Hit the Floor,2013–present)
Hollywood Game Night,2013–present)
House of Cards |House of Cards,2013–present)
Ice Cold Gold,2013–present)
Inside Amy Schumer,2013–present)
The Kelly File,2013–present)
The Killer Speaks,2013–present)
Knife Fight |Knife Fight,2013–present)
Lalaloopsy |Lalaloopsy,2013–present)
Lauren Lake's Paternity Court,2013–present)
The Lead with Jake Tapper,2013–present)
Legal View with Ashleigh Banfield,2013–present)
Life Below Zero,2013–present)
Little People Big World, 2013–present)
Love Thy Neighbor |Love Thy Neighbor,2013–present)
Lucas Bros. Moving Co.,2013–present)
Maron |Maron,2013–present)
Marriage Boot Camp,2013–present)
Married to Medicine,2013–present)
Agents of S.H.I.E.L.D.|Marvel's Agents of S.H.I.E.L.D.,2013–present)
Avengers Assemble |Marvel's Avengers Assemble,2013–present)
MasterChef Junior,2013–present)
Masters of Sex,2013–present)
Mickey Mouse |Mickey Mouse,2013–present)
Mistresses |Mistresses,2013–present)
Mom |Mom,2013–present)
